X,Y,OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,ACCESSIBLE,BUSPADID,FDMID,FCODE,SOURCE,SACC,ADDDATE,MODDATE
-63.572327200472735,44.644076800471851,426598,BS2084,6123,Yes,Barrington St Before Spring Garden Rd (6123),Accessible,CPD2258,300001720,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.663593200052887,44.660782601169139,426599,BS2615,9110,Yes,Lacewood Terminal Bay 10 (9110),Accessible,,700010366,Terminal,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.580197000215414,44.683483401078412,426600,BS2410,7450,Yes,Pinecrest Dr Before Albro Lake Rd (7450),Accessible,CPD2387,200000609,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.586128499679667,44.65087800075127,426601,BS2330,6508,Yes,Cornwallis St Before North Park St (6508),Accessible,CPD2437,300001217,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.574966399573512,44.634540600827144,426602,BS2648,6566,Yes,Inglis St Before McLean St (6566),Accessible,CPD2480,300002189,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.614977899520731,44.633768101220831,426603,BS1904,8107,Yes,Purcells Cove Rd Before Sailboat Ln (8107),Non-Standard,CPD2117,700006877,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.709492600630341,44.786546001402101,426604,BS384,7239,Yes,Millwood Dr After Canting Dr (7239),Non-Standard,CPD902,100002024,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.388316400081635,44.736488801189012,426605,BS1427,8778,Yes,Hwy 7 After Linda Ln (8778),Inaccessible,CPD1661,400000273,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.554573499966956,44.665481401379779,426606,BS2287,7476,Yes,Pleasant St Before Old Ferry Rd (7476),Accessible,CPD2343,200000768,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.574769099892713,44.626400500774487,426607,BS901,8406,Yes,Tower Rd Before Point Pleasant Dr (8406),Accessible,CPD1140,300002406,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.675364231259209,44.701986131778142,426608,BS1377,8880,Yes,Larry Uteck Blvd At Civic 420 (8880),Accessible,CPD1546,700001306,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.660267999790442,44.671345000720123,426609,BS1542,7062,Yes,Knightsridge Dr Before Flamingo Dr (7062),Accessible,CPD251,300002984,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.588716299874818,44.585202901450799,426610,BS2473,6879,Yes,Herring Cove Rd Before Esso Rd (6879),Non-Standard,CPD2318,300002787,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.660451600163157,44.760361501355504,426611,BS512,6739,Yes,Glendale Dr After Cobequid Rd (6739),Accessible,CPD844,100000204,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.270322300338641,44.729658601063221,426612,BS1443,8792,Yes,Hwy 207 Before Johnson Ave (8792),Inaccessible,CPD1676,400000101,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.488110599829014,44.606184501135999,426613,BS149,8277,Yes,Shore Rd Before Normans Ln (8277),Accessible,CPD21,200001780,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.669931199759596,44.672275500993159,426614,BS1798,6649,Yes,Farnham Gate Rd Before Montgomery Ct (6649),Non-Standard,CPD1869,300003500,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.563677600181379,44.676280401571866,426615,BS1960,6534,Yes,Crichton Ave After Boathouse Ln (6534),Accessible,CPD2047,700006704,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.578052800683977,44.618431500782556,426616,BS1910,8113,Yes,Purcells Cove Rd Opposite Melvin Rd (8113),Non-Standard,CPD2123,300002536,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.616881099926076,44.625716301557929,426617,BS714,6891,Yes,Herring Cove Rd Before Highfield St (6891),Non-Standard,CPD460,300002458,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.595912900346946,44.638006401512257,426618,BS1865,6453,Yes,Coburg Rd After Oxford St (6453),Accessible,CPD317,300002054,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.519649900583808,44.629984000930229,426619,BS2510,7471,Yes,Main Rd Opposite Harvard Dr (7471),Non-Standard,CPD439,200002877,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.659793299451593,44.690454100890648,426620,BS758,6222,Yes,Bedford Hwy Opposite Kent Ave (6222),Inaccessible,CPD943,300000013,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.590147673651913,44.686056044921827,426621,BS915,6921,Yes,Highfield Park Dr Before Civic 65 (6921),Accessible,CPD1152,200000665,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-06-28T00:00:00.000Z
-63.523840100311425,44.672127000830308,426622,BS1870,8041,Yes,Portland St After Jersey Dr (8041),Accessible,CPD319,200000735,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.549085799694097,44.679854800847963,426623,BS1824,6311,Yes,Prince Albert Rd After Bartlin Rd (6311),Non-Standard,CPD293,200000070,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.481512599831298,44.617999100993337,426624,BS1770,8662,Yes,Hornes Rd After Scott Dr (8662),Inaccessible,CPD1843,200002790,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.574796800342803,44.670559800936175,426625,BS1604,7613,Yes,Bridge Terminal Bay 13 (7613),Accessible,CPD236,700010359,Terminal,06/12/2016,Coordinated Point,2016-07-29T00:00:00.000Z,2017-06-28T00:00:00.000Z
-63.492565499833184,44.671520000533846,426626,BS181,6482,Yes,Cole Harbour Rd Before Cumberland Dr (6482),Accessible,CPD732,700004636,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.65134099973934,44.655537800858227,426627,BS1976,6605,Yes,Dunbrack St After Birkdale Cr (6605),Accessible,CPD2058,700005231,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.505037300504455,44.66551400073655,426628,BS1339,8838,Yes,Portland Hills Dr Before Woodhaven Cl (8838),Accessible,CPD1510,700004426,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.600706299923218,44.660987601013034,426629,BS1423,8631,Yes,Young St Before Agricola St (8631),Accessible,CPD225,700006602,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.606506361488357,44.65679287428928,426630,BS1398,8634,Yes,Young St Before Windsor St (8634),Accessible,CPD1567,700005104,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,2016-11-22T00:00:00.000Z
-63.57119629968345,44.641547301183621,426631,BS2190,6113,Yes,Barrington St Before Morris St (6113),Accessible,CPD2185,300001887,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.68286789925164,44.70061180076852,426632,BS1375,8878,Yes,Larry Uteck Blvd At Civic 630 (8878),Accessible,CPD1544,700006890,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.666785200819923,44.697515900909245,426633,BS1142,8352,Yes,Starboard Dr Before Larry Uteck Blvd (8352),Non-Standard,CPD1375,300003660,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.625910200695728,44.633341000668992,426634,BS1109,7397,Yes,Osborne St At Civic 7 (7397),Non-Standard,CPD1353,300002272,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.479731299911698,44.644734801289403,426635,BS578,7440,Yes,Atholea Dr Before Caldwell Rd (7440),Non-Standard,CPD973,200003089,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.567339100041792,44.569628701045879,426636,BS1942,7054,Yes,Ketch Harbour Rd After St Pauls Ave (7054),Non-Standard,CPD2032,300002792,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.61880619946141,44.643478401445726,426637,BS2053,6411,Yes,Chebucto Rd Before Joseph St (6411),Accessible,CPD1991,300001735,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.600591399110179,44.695042500955694,426638,BS1932,8514,Yes,Windmill Rd After Victoria Rd (8514),Non-Standard,CPD2141,200001406,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.599082100075464,44.703892601110347,426639,BS1702,6673,Yes,Fielding Ave After Wright Ave (6673),Inaccessible,CPD1957,200002617,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.599391400807555,44.623217201105305,426640,BS2200,8120,Yes,Purcells Cove Rd After Albion Rd (8120),Non-Standard,CPD2189,300002471,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.678226500011327,44.68119330123475,426641,BS1360,8692,Yes,Parkland Dr Opposite 2nd Castlepark Grv (8692),Accessible,CPD1531,300003671,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.256053628350664,44.698140159426643,426642,BS1268,8658,Yes,Hwy 207 At Civic 6774 (8658),Accessible,CPD2568,400000113,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.542495099406388,44.678991501027987,426643,BS788,6204,Yes,Beacon St After Harris Rd (6204),Inaccessible,CPD958,200002254,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.607294200162201,44.647603300795915,426644,BS2046,6404,Yes,Chebucto Rd Before Connaught Ave (6404),Accessible,CPD1985,300001453,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.70753109956307,44.792571801090496,426645,BS379,7235,Yes,Millwood Dr Opposite Jackladder Dr (7235),Accessible,CPD897,100000583,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.56042270027644,44.683409101215304,426646,BS509,6736,Yes,Glen Manor Dr Before Brookdale Cr (6736),Non-Standard,CPD842,700004013,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.670781400378786,44.683113000665521,426647,BS1197,7028,Yes,Kearney Lake Rd Opposite Civic 83 (7028),Non-Standard,CPD1283,300000043,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.673035899552389,44.781465801373727,426648,BS2438,7206,Yes,Metropolitan Ave After Polara Dr (7206),Non-Standard,CPD2409,100000650,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.70147460042535,44.882092101030892,426649,BS66,8730,Yes,Beaver Bank Rd At Civic 2443 (8730),Non-Standard,CPD574,100000831,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.608140435617734,44.707263698785191,426650,BS1003,6013,Yes,Akerley Blvd After Mosher Dr (6013),Accessible,CPD1313,200000698,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.650413899738581,44.740245901190022,426651,BS848,8174,Yes,Riverview Cr Before Rockmanor Dr (8174),Inaccessible,CPD1261,100002281,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.589331099668748,44.622723600975256,426652,BS2277,8087,Yes,Purcells Cove Rd After Halls Rd (8087),Accessible,CPD2333,300002536,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.656132299952802,44.662360701166108,426653,BS1728,7078,Yes,Lacewood Dr Before Dunbrack St (7078),Accessible,CPD1818,700005252,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.487460700161989,44.611851700758834,426654,BS2333,6511,Yes,Cow Bay Rd Before Briarwood Dr (6511),Accessible,CPD431,200001769,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.55451710014016,44.738427301062686,426655,BS2208,8449,Yes,Waverley Rd Before Spider Lake Rd (8449),Non-Standard,CPD2196,200002934,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.631945000129456,44.632036401101566,426656,BS1313,8812,Yes,Walter Havill Dr Before Ridgestone Ct (8812),Non-Standard,CPD1484,700002097,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.577905200296271,44.638373501089212,426657,BS250,8311,Yes,South Park St Before South St (8311),Accessible,CPD678,300002030,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.711848000373294,44.645361700615304,426658,BS444,6145,Yes,St Margarets Bay Rd At Civic 1817 (6145),Accessible,CPD786,700010526,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.54558230001745,44.648701100560537,426659,BS2511,7472,Yes,Pleasant St After Hwy 111 (7472),Accessible,CPD2464,200000158,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.600751300129062,44.595851500243526,426660,BS2243,6846,Yes,Herring Cove Rd Before Green Acres Rd (6846),Non-Standard,CPD2231,300002663,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.589404137192929,44.684316184831971,426661,BS2668,8141,Yes,Highfield Terminal Bay 2 (8141),Accessible,CPD2495,700010391,Terminal,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.653619500100703,44.758556901376764,426662,BS1675,8682,Yes,Glendale Ave Before Estates Rd (8682),Non-Standard,CPD1935,700003629,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.49901979992817,44.705557201374951,426663,BS388,7243,Yes,Montague Rd Before Serpentine Ave (7243),Non-Standard,CPD906,200003311,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.704026900098789,44.887135101610731,426664,BS67,8731,Yes,Beaver Bank Rd After Gilby Cr (8731),Inaccessible,CPD575,100000832,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.59660390063317,44.681934200886033,426665,BS1048,9053,Yes,Windmill Rd Before Fernhill Dr (9053),Accessible,CPD1419,200000271,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.582022799979242,44.654356101299562,426666,BS2181,6104,Yes,Barrington St Before Cornwallis St (6104),Accessible,CPD2179,700004702,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.58173596611239,44.650847229195342,426667,BS747,6771,Yes,Gottingen St Before Cogswell St (6771),Accessible,CPD936,700000662,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.471155299489865,44.702742400868544,426668,BS820,6943,Yes,Main St Before Cherry Brook Rd (6943),Accessible,CPD1238,700002757,Conventional Transit Bus Stop,24/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.509029799902656,44.677999800633799,426669,BS2166,6575,Yes,Dorothea Dr After Lucien Dr (6575),Accessible,CPD355,200002763,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.574306699286744,44.647563900930926,426670,BS2019,6084,Yes,Barrington St Before Prince St (6084),Accessible,CPD2097,300001441,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.561904499185381,44.565905300936159,426671,BS1204,7121,Yes,Lancaster Dr Before Dragonfly Ln (7121),Non-Standard,CPD1289,300002699,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.663510699675498,44.764996701053754,426672,BS514,6741,Yes,Glendale Dr Before McGee Dr (6741),Accessible,CPD846,100000204,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.567878199705042,44.674680600994556,426673,BS2642,8383,Yes,Thistle St After Beech St (8383),Accessible,CPD2492,200000622,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.608216300140107,44.652973600450551,426674,BS866,7417,Yes,Oxford St Before Liverpool St (7417),Accessible,CPD1112,300001037,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.610986200521459,44.681619000680904,426675,BS1787,6637,Yes,Endeavour Dr After Navicula Ln (6637),Non-Standard,CPD1858,700009747,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.694301599594048,44.869798001234123,426676,BS77,8741,Yes,Beaver Bank Rd At Civic 2120 (8741),Inaccessible,CPD585,100000745,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.503815700414208,44.663902000512969,426677,BS1338,8837,Yes,Portland Hills Dr Before 2nd Bellbrook Cr (8837),Accessible,CPD1509,700004425,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.618446799685906,44.651951200873739,426678,BS783,6199,Yes,Bayers Rd Opposite Vaughan Ave (6199),Accessible,CPD2514,700004909,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.668248199786596,44.699782500755951,426679,BS1383,8873,Yes,Larry Uteck Blvd Before Jacob Ln (8873),Accessible,CPD1552,700007951,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.514088799867402,44.685215400974691,426680,BS402,7257,Yes,Mt Edward Rd Before Lucien Dr (7257),Accessible,CPD920,200001057,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.578939700177465,44.676425701014971,426681,BS808,8428,Yes,Victoria Rd Before Vanessa Dr (8428),Accessible,CPD1226,200000440,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.485827900741995,44.685964801072011,426682,BS2358,6991,Yes,John Stewart Dr After Auburn Dr (6991),Accessible,CPD2455,200001696,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.723401599754986,44.651222400648052,426683,BS560,6176,Yes,St Margarets Bay Rd Before Devonshire Dr (6176),Accessible,CPD83,700001128,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.272616786220489,44.732236223530577,426684,BS9,8904,Yes,Hwy 207 Opposite Les Collins Ave (8904),Inaccessible,CPD471,400000104,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.292192599804189,44.746604800497678,426685,BS1439,8788,Yes,Hwy 7 After Millside Dr (8788),Inaccessible,CPD1672,400000089,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,2016-11-22T00:00:00.000Z
-63.5365878005559,44.68055130117569,426686,BS700,9076,Yes,Tacoma Dr After Hartlen St (9076),Accessible,CPD127,200002319,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.620855100317627,44.648121700929572,426687,BS2675,8641,Yes,Mumford Terminal Bay 3 (8641),Accessible,CPD2499,700010424,Terminal,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.700008099825702,44.790012700864096,426688,BS496,7234,Yes,Millwood Dr Before Crossroads Ct (7234),Accessible,CPD830,100002240,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.54929899955544,44.705079901479372,426689,BS1032,8440,Yes,Waverley Rd After Lethbridge Ave (8440),Accessible,CPD216,200001848,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.618631499596532,44.631995100977491,426690,BS2450,6856,Yes,Herring Cove Rd After Cowie Hill Rd (6856),Accessible,CPD2303,300002310,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.594769600111817,44.713273201487056,426691,BS1006,6016,Yes,Akerley Blvd Before Burnside Dr (6016),Non-Standard,CPD1315,700004263,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.500017099675134,44.708755500620867,426692,BS478,7099,Yes,Lake Loon Rd After Montague Rd (7099),Non-Standard,CPD813,200002697,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.681431200261557,44.833276701048042,426693,BS56,8720,Yes,Beaver Bank Rd Before Trinity Ln (8720),Non-Standard,CPD564,100001614,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.709458799721133,44.790330300782756,426694,BS2446,7223,Yes,Millwood Dr After Rafting Dr (7223),Non-Standard,CPD2477,100000728,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.603276379052772,44.686180143965473,426695,BS1711,8076,Yes,Princess Margaret Blvd Opposite Baffin Blvd (8076),Non-Standard,CPD1806,700004657,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.597122199806016,44.651484700842865,426696,BS1645,8559,Yes,Windsor St Before Charles St (8559),Accessible,CPD1653,300003535,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.542707100016813,44.677043100930945,426697,BS159,8287,Yes,Somerset St Before Centre St (8287),Non-Standard,CPD654,200000874,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.665820599749317,44.727057400709647,426698,BS2377,6249,Yes,Bedford Hwy Before Spring St (6249),Accessible,CPD2523,100001802,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.491922700450168,44.67165980068804,426699,BS179,6480,Yes,Cole Harbour Rd Before Hugh Allen Dr (6480),Accessible,CPD47,700004636,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.629007899917518,44.661983300943973,426700,BS1460,7169,Yes,Main Ave Before Fairview Overpass (7169),Accessible,CPD1762,300003349,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.666988499450191,44.697525900592396,426701,BS1141,8351,Yes,Starboard Dr After Brigadier Ct (8351),Non-Standard,CPD1374,300003660,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.633953400441072,44.642975700818162,426702,BS2168,6577,Yes,Downs Ave After Winter St (6577),Non-Standard,CPD2169,300001865,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.669278100293525,44.658346600319156,426703,BS363,9091,Yes,Regency Park Dr Before Lacewood Dr (9091),Accessible,CPD638,700005300,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.645290269582375,44.663822730293141,426704,BS1717,7066,Yes,Lacewood Dr After Clayton Park Dr (7066),Accessible,CPD269,300000474,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,2016-11-22T00:00:00.000Z
-63.650716799075958,44.743413200609126,426705,BS963,8173,Yes,Riverview Cr After Rockmanor Dr (8173),Non-Standard,CPD1190,100002281,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.665618629727341,44.627542236303974,426706,BS1285,8807,Yes,Ragged Lake Blvd After Prospect Rd (8807),Inaccessible,CPD1458,700005788,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,2017-11-28T00:00:00.000Z
-63.540026399648227,44.665798100697067,426707,BS502,6729,Yes,Gaston Rd Before Galaxy Ave (6729),Non-Standard,CPD836,200002203,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.702900299544787,44.791395101247396,426708,BS381,7236,Yes,Millwood Dr After Beaver Bank Cross Rd (7236),Non-Standard,CPD899,100002225,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.47196629942669,44.702759101257342,426709,BS819,6942,Yes,Main St After Cherry Brook Rd (6942),Accessible,CPD1237,700002757,Conventional Transit Bus Stop,24/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.587138400095107,44.676277401205397,426710,BS1412,8619,Yes,Wyse Rd Before Albro Lake Rd (8619),Accessible,CPD1581,200000304,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.590829100592153,44.639117600769389,426711,BS1862,6450,Yes,Coburg Rd Before Lemarchant St (6450),Accessible,CPD314,300001998,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.531140599929323,44.680799801069874,426712,BS2122,8482,Yes,Weyburn Rd Before Spikenard St (8482),Non-Standard,CPD2291,200002272,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.688141300125267,44.788211300730985,426713,BS1094,8356,Yes,Stokil Dr After Grennan Dr (8356),Non-Standard,CPD1341,100000607,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.629101799915858,44.638693300924004,426714,BS567,6183,Yes,St Margarets Bay Rd Opposide Bakers Dr (6183),Accessible,CPD885,300002064,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.672189799742483,44.640907900593341,426715,BS2103,6384,Yes,Horseshoe Lake Dr After Civic 174 (6384),Inaccessible,CPD2274,700005364,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.663817800433478,44.67366510069418,426716,BS1978,6607,Yes,Dunbrack St After Farnham Gate Rd (6607),Accessible,CPD2060,700005264,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
