X,Y,OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,ACCESSIBLE,BUSPADID,FDMID,FCODE,SOURCE,SACC,ADDDATE,MODDATE
-63.683257599201681,44.636192000304206,426427,BS461,6162,Yes,St Margarets Bay Rd Before Beech Tree Run (6162),Accessible,CPD63,300003391,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.582554400506496,44.684893800440086,426428,BS2419,7459,Yes,Pinecrest Dr Before Primrose St (7459),Accessible,CPD2396,200000041,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.626869299585231,44.639648201480057,426429,BS369,6187,Yes,St Margarets Bay Rd After Ferndale Dr (6187),Non-Standard,CPD889,300002009,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.680156499856544,44.728170200443287,426430,BS658,7189,Yes,Meadowbrook Dr After Basinview Dr (7189),Non-Standard,CPD994,100001215,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.703088400477078,44.791448301069813,426431,BS492,7228,Yes,Millwood Dr Before Beaver Bank Cross Rd (7228),Accessible,CPD826,100002225,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.630722699353278,44.646765800730961,426432,BS1134,8344,Yes,Springvale Ave Before Joseph Howe Dr (8344),Accessible,CPD1368,300003333,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.548110999151746,44.649051700992011,426433,BS2635,8966,Yes,Woodside Ferry Terminal Bay 4 (8966),Accessible,CPD2467,700010409,Terminal,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.574529400628819,44.638977801400777,426434,BS164,8292,Yes,Somerset St Before Berkley Brae (8289),Accessible,CPD24,300002029,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.588383300687205,44.658628201217226,426435,BS324,7343,Yes,North St After Brunswick St (7343),Non-Standard,CPD603,700004686,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.522463600123466,44.676827501139947,426436,BS1580,6631,Yes,Ellenvale Ave Before Alberta St (6631),Accessible,CPD1747,200000993,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.58871680023644,44.655623501274093,426437,BS305,6787,Yes,Gottingen St After Uniacke St (6787),Accessible,CPD41,300002965,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.494939900741016,44.61202550073434,426438,BS2364,7497,Yes,Main Rd At Civic 1491 (7497),Accessible,CPD2354,200001758,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.666561499652936,44.644790601252048,426439,BS2096,6377,Yes,Chain Lake Dr Before Lovett Lake Ct (6377),Inaccessible,CPD2268,700005404,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.485850300233622,44.693044301234607,426440,BS2016,6081,Yes,Auburn Dr Before Leander Dr (6081),Non-Standard,CPD2094,200001928,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.617866099940159,44.623084700838561,426441,BS2465,6871,Yes,Herring Cove Rd Before Mont St (6871),Accessible,CPD2310,300002481,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.605784398969234,44.655783998308443,426442,BS1154,8571,Yes,Windsor St Before Cork St (8571),Accessible,CPD1386,300000870,Conventional Transit Bus Stop,09/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.703372599585201,44.723807201210093,426443,BS232,6567,Yes,Innovation Dr Before Gary Martin Dr (6567),Accessible,CPD667,700008543,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.617495830549721,44.655918992095792,426444,BS2316,6493,Yes,Connaught Ave After Regent Rd (6493),Accessible,CPD426,700005013,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.654939400137565,44.740990701272203,426445,BS778,6243,Yes,Bedford Hwy At Civic 1749 (6243),Inaccessible,CPD953,100001809,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
